MMT,CNF,Gelatin,Glycerol,TransVis,RR,TensileStrength
6.36,35.3,45.99,12.35,71.8,0.48,77.06
3.28,47.73,41.36,7.63,74.8,0.15,129.28
3.22,63.53,28.54,4.71,80.3,0.16,138.93
38.93,19.85,37.76,3.46,69.8,0.73,29.48
5.04,42.54,44.3,8.12,73.8,0.35,102.47
50.27,9.97,38.16,1.6,63.3,0.7,34.93
12.32,38.68,35.67,13.33,77.3,0.75,96.67
32.99,23.77,34.2,9.04,77.4,0.71,54.94
52.93,15.55,28.71,2.81,43.2,0.81,56.23
68.73,7.83,19.18,4.26,32.8,0.89,52.75
40.29,26.61,30.42,2.68,76.5,0.72,45.61
4.24,55.83,26.16,13.77,83.9,0.17,145.34
50.98,23.24,3.44,22.34,70.7,0.8,63.18
12.33,43.49,32.8,11.38,82.6,0.58,125.39
41.81,26.94,10.82,20.43,77.3,0.65,73.75
10.09,42.91,45,2,81.8,0.63,38.1
7.45,42.64,25.93,23.98,83,0.57,40.4
26.43,33.07,28.63,11.87,81.1,0.67,86.59
40.73,23.12,25.72,10.43,76.4,0.86,16.29
6.41,32.17,59.5,1.92,82.5,0.61,10.26
1.52,55.78,14.23,28.47,84.8,0.28,41.11
41.72,4.78,35.21,18.29,68,0.59,81.61
58.98,5.8,33.21,2.01,51.3,0.85,107.78
7.76,59.04,27.17,6.03,84.7,0.29,140.38
47.8,3.93,40.41,7.86,65.2,0.69,20.23
49.32,8.29,23.37,19.02,66.9,1,83.97
14.99,32.87,32.53,19.61,82.3,0.56,87.01
51.83,20.43,18.55,9.19,41.5,0.69,34.95
9.01,45.48,36.49,9.02,83,0.6,125.93
5.52,46.37,12.15,35.96,85.7,0.2,34.41
46.69,10.93,26.32,16.06,56.5,0.92,57.99
47.79,32.06,4.03,16.12,81,0.69,54.38
52.85,21.47,16.27,9.41,53.6,0.95,78.39
36.13,34.53,11.86,17.48,79,0.8,103.44
40.85,23.33,8.61,27.21,80.7,0.65,73.99
7.8,46.76,31.65,13.79,82.6,0.51,112.01
54.14,10.37,34.06,1.43,48.3,0.9,65.47
52.75,6.58,34.83,5.84,42.7,0.83,17.29
47.46,18.73,15.1,18.71,66.8,0.76,67.77
1.12,70.11,19.23,9.54,86.1,0.6,76.2
38.61,3.94,51.12,6.33,67.7,0.77,81.59
17.69,29.48,49.22,3.61,80.7,0.66,21.92
15.33,38.88,2.37,43.42,85.8,0.6,20.93
43.5,37.64,6.03,12.83,71.4,0.76,107.96
66.6,13.12,13.96,6.32,37.2,0.92,132.84
1.78,38.91,29.37,29.94,84.9,0.12,40.98
65.07,2.91,17.57,14.45,21.4,0.92,95.71
35.43,37.82,6.65,20.1,83.1,0.78,85.51
64.86,15.53,18.14,1.47,33.4,0.82,136.93
4.48,58.86,35.37,1.29,84.7,0.13,81.71
44.13,11.63,33.75,10.49,52.3,0.76,37.31
5.16,48.53,28.67,17.64,83,0.43,96.39
2.51,49.21,15.12,33.16,86.4,0.18,45.24
24.11,33.58,20.03,22.28,74.6,0.62,90.32
1.94,43.29,22.42,32.35,85,0.9,37.54
5.95,38.72,31.85,23.48,83.7,0.45,58.58
18.88,38.48,6.12,36.52,83.4,0.68,32.4
11.1,56.73,26.45,5.72,84.4,0.57,33.32
62.86,22.57,10.99,3.58,35.4,0.71,113.55
34.49,14.72,45.94,4.85,67.1,0.82,38.49
33.73,12.8,52.05,1.42,69.4,0.77,14.33
8.27,34.24,3.34,54.15,78.4,0.6,11.79
37.6,5.55,46.8,10.05,65.3,0.9,14.38
2.2,51.1,37.61,9.09,78.7,0.27,43.1
2.53,47.38,26.05,24.04,80.5,0.34,45.37
11.19,35.38,34.02,19.41,76.9,0.65,67.54
17.89,37.48,21.77,22.86,80.9,0.65,67.54
8.37,35.98,47.04,8.61,71.5,0.63,54.97
15.61,43.42,36.15,4.82,78.2,0.71,40.28
47.93,7.15,32.29,12.63,56.8,0.91,46.99
24.9,38.29,13.83,22.98,78.2,0.72,53.98
55.01,15.04,11.38,18.57,45,0.91,56.53
37.26,19.29,22.25,21.2,70.2,0.84,67.92
38.45,31.02,9.25,21.28,78.3,0.78,51.22
5.89,36.05,1.15,56.91,84.6,0.26,7.87
1.69,33.83,60.75,3.73,80.7,0.14,30.24
35.59,29.61,8.54,26.26,54.5,0.87,32.44
71.63,2.02,24.95,1.4,21.3,1,92.05
52,26.96,1.93,19.11,68,0.83,34.83
51.23,27.89,19.32,1.56,70.1,0.84,41.21
13.86,36.97,30.59,18.58,81.1,0.67,43.04
58.42,3.19,24.13,14.26,34.4,0.93,67.61
39.61,33.99,17.36,9.04,70.7,0.75,65.83
27.24,35.43,11.46,25.87,75.6,0.85,37.89
9,50.85,11.61,28.54,86,0.32,39.65
40.12,29.7,10.03,20.15,76.3,0.81,42.11
33.02,34.95,4.58,27.45,81,0.7,30.39
9.18,51.76,35.89,3.17,84.6,0.49,54.61
1.32,48.81,24.86,25.01,84.3,0.17,28.78
66.12,15.41,17.02,1.45,70.3,0.88,65.48
71.63,2.02,24.95,1.4,37.1,0.93,49.86
1.56,53.59,18.22,26.63,82,0.12,14.6
51.23,27.89,19.32,1.56,69.3,0.75,43.5
66.12,15.41,17.02,1.45,40.4,0.38,51.26
1.81,64.75,22.33,11.11,79.1,0.21,22.82
1.28,63.02,34.24,1.46,83.6,0.28,40.33
64.24,1.79,21.31,12.66,48.2,0.92,54.64
35.59,29.61,8.54,26.26,77.8,0.61,12.39
1.32,48.81,24.86,25.01,82.3,0.11,7.94
65.31,13.77,19.29,1.63,22.2,0.97,62.63
1.81,64.75,22.33,11.11,86.7,0.9,43
32.8,24.08,41.83,1.29,70.8,0.81,60.5
5.89,36.05,1.15,56.91,84.6,0.26,7.87
1.69,33.83,60.75,3.73,80.7,0.14,30.24
35.59,29.61,8.54,26.26,54.5,0.87,32.44
13.86,36.97,30.59,18.58,81.1,0.67,43.04
52,26.96,1.93,19.11,68,0.83,34.83
51.23,27.89,19.32,1.56,70.1,0.84,41.21
32.8,24.08,41.83,1.29,70.8,0.81,60.5
58.42,3.19,24.13,14.26,34.4,0.93,67.61
27.24,35.43,11.46,25.87,75.6,0.85,37.89
9,50.85,11.61,28.54,86,0.32,39.65
40.12,29.7,10.03,20.15,76.3,0.81,42.11
33.02,34.95,4.58,27.45,81,0.7,30.39
9.18,51.76,35.89,3.17,84.6,0.49,54.61
71.63,2.02,24.95,1.4,37.1,0.93,49.86
64.24,1.79,21.31,12.66,48.2,0.92,54.64
17.70239835,29.49297542,49.1607027,3.609990999,80.71134114,0.627581986,21.95585223
11.1474071,56.75764018,26.46624,5.773424988,84.3752889,0.61747103,33.3301781
20.50791397,39.46474923,26.95818164,12.87950065,77.44323631,0.732801756,37.90664828
45.41712603,1.788973804,51.30689946,1.598293673,61.61033028,0.860761939,107.7623707
5.039655059,34.34677647,1.17164727,59.52481172,79.90961866,0.312267051,5.060683787
4.445202777,41.154107,2.873626911,51.44947436,85.72530094,0.112383924,12.51699534
5.013955452,34.3540654,1.200158939,59.37573993,80.0665807,0.266301355,5.10218961
35.59834952,29.57449319,8.446814444,26.27120648,77.79638164,0.669757534,12.35478767
4.938714932,34.43703392,1.237176307,59.45623021,79.98822821,0.310720871,5.058059546
30.56408956,42.74488662,15.73180978,10.79493827,75.79441775,0.304573797,28.7967341
60.01569398,20.42761053,17.21153849,2.317047999,30.02659333,0.810679567,82.80758676
5.926226729,38.76385191,31.80759541,23.51370948,83.74870328,0.474712193,58.65546258
14.98971352,32.89878105,32.47276563,19.64002079,82.34803062,0.569137833,86.99122328
1.09788704,70.11805897,19.2670449,9.545403022,86.03156274,0.723325249,76.27019949
2.838124974,38.30836486,57.14617379,1.834333601,72.75415221,0.283957814,58.36934824
17.89798022,37.48686526,21.84867527,22.82419985,80.96393274,0.576950426,67.5013387
63.42233729,12.14366975,4.449602606,20.01314923,67.48464185,0.677622424,30.571203
58.47374894,3.229604525,24.15016761,14.26384817,34.31266168,0.86086747,67.57011307
4.439737939,41.21061413,2.988635759,51.42900374,85.65169716,0.246547335,12.50582227
14.94669856,32.8719701,32.49914519,19.64014326,82.22520166,0.556642807,87.01696162
3.489547179,37.04612945,52.08114504,7.326344205,76.66818011,0.115277511,63.14414244
47.44884399,18.86244019,15.12394303,18.83954608,66.8092683,0.690527307,67.73187108
5.657477491,46.31962377,12.23185613,35.93536727,85.68767244,0.253820454,34.28206514
71.64885776,2.037871868,24.98485054,1.384915742,37.11498806,0.945776581,49.79842272
5.904587427,36.05610638,1.146368335,56.92458808,84.67185525,0.184963186,7.861206631
2.674253157,41.39783487,6.287721689,49.65849073,84.2177858,0.180825498,10.80608887
9.024950435,45.53254663,36.37426838,8.944654511,83.03881748,0.614931399,125.9360608
38.57125494,3.871930829,51.10275469,6.379410218,67.67156187,0.757454751,81.65967553
5.153118358,50.4515009,22.58071517,21.82888834,84.19082242,0.318964537,20.93866573
38.42519305,31.00448167,9.252736921,21.28051691,78.33659685,0.789143478,51.2553246
12.28806712,38.71807679,35.67349727,13.28677644,77.27733997,0.698987633,96.64211212
2.60813941,47.36015487,26.01668677,24.08960543,80.46951028,0.365878994,45.45407988
9.060077804,52.20645194,14.31964106,24.60359497,81.45826721,0.49497019,42.66149308
56.79846342,28.4077833,4.912362498,9.782182722,82.59944058,0.884329502,49.86169451
3.541040209,37.05725833,52.14263495,7.224947276,76.55711607,0.239366836,63.08649066
59.04005207,5.831363997,33.23326257,2.003699099,51.21804683,0.842999186,107.7544018
71.67546521,2.03752862,24.94785956,1.393696872,21.47573821,0.889390199,92.09146361
9.071129872,50.74475727,11.68233003,28.58806644,85.99326993,0.417695145,39.64160015
1.797635337,64.76573485,22.28873899,11.1452903,86.65824755,0.901163069,43.13385933
38.55925492,4.014152417,51.11253038,6.311564438,67.67185574,0.841191025,81.5264545
30.63734993,42.77568637,15.711023,10.72370489,75.77465516,0.346856573,28.76056913
40.65628845,35.58972224,15.13011533,8.554871095,76.7421195,0.696007146,47.74455737
64.3180899,1.764186182,21.2666131,12.61798533,48.19439103,0.868819374,54.61752991
28.26855626,29.1737959,14.64129491,27.84725505,75.36904639,0.71457553,40.30029681
52.76942006,6.533005115,34.74108151,5.741383143,42.6714831,0.709745319,17.38780272
8.271063204,34.23388828,3.348328517,54.2030989,78.36866397,0.57220406,11.72763864
59.87025953,20.38004444,17.25867973,2.411913258,30.07867567,0.733307943,82.7458592
52.84935122,21.44636889,16.30216815,9.416796853,53.63421559,1.030126066,78.36998746
12.18329347,51.20585159,32.43843447,4.069316388,80.08122789,0.590708115,73.70075341
2.408620025,57.93397956,3.431160705,36.33966723,84.57262781,0.628388432,19.42360288
17.94131597,37.42140798,21.75147809,22.85209851,80.91466475,0.579253778,67.58621815
12.29142963,38.67558307,35.6118018,13.41283894,77.32312788,0.715880074,96.63751665
35.61373922,29.59015686,8.623323059,26.2375457,54.48770422,0.812224155,32.42425846
51.71825683,20.45688956,18.55821043,9.184403646,41.62790119,0.788778355,34.88322195
58.42116888,3.287779512,24.0922766,14.25233926,34.37486808,0.931320251,67.63134124
35.69738657,21.7747953,17.43521457,25.12987485,72.91472823,0.731930056,30.42798747
42.98186033,20.42875686,34.38142673,2.123242629,67.72090494,0.999174471,69.74518584
1.802270418,47.12955955,49.37757391,1.762696395,76.9382155,0.106734168,63.95325938
49.45241493,11.21060487,16.41561997,22.94706075,33.82892065,0.759017224,31.61732443
4.48392219,41.16452352,2.917580055,51.43312405,85.71865463,0.250181059,12.46449504
52.72396489,6.448160395,34.82097418,5.864096478,42.65833875,0.858115308,17.29416459
32.86438511,24.0960807,41.7595419,1.280316847,70.76460445,0.802610385,60.53364799
32.86527565,27.43334649,20.48524243,19.28578614,75.91217775,0.697482024,41.65984662
42.84717806,35.34184962,3.33266491,18.56411735,75.15703569,0.650649207,66.27023027
38.96738846,19.83209917,37.83404036,3.512443687,69.83365916,0.667301496,29.4660212
1.329549098,48.7846104,24.84017418,24.99039729,84.34454488,0.256046973,28.72183993
1.32247929,62.9883886,34.24146642,1.346609779,83.64497475,0.292750707,40.4508971
1.828575841,39.83902059,14.25364842,44.05095938,85.95771242,0.163009435,24.77290537
37.23925117,19.27707659,22.27549278,21.16690369,70.2531016,0.81510657,67.86735538
43.47895598,37.56204417,6.231442837,12.74021973,71.22645915,0.779478913,108.0011681
2.610922537,38.29315243,57.10769379,1.912774912,72.70613023,0.287552117,58.42001523
2.380919237,57.82039823,3.381782115,36.4229493,84.63205786,0.810769624,19.33622021
57.44375569,17.84063985,11.62166362,13.18105305,63.99611612,0.786047465,40.29539344
5.171573371,48.58336706,28.68451026,17.65548868,82.95979406,0.38499656,96.36342448
1.840007082,42.14533798,12.29037177,43.50407879,81.87429528,0.066480206,12.06870972
54.13416507,10.28416548,34.03896173,1.429399936,48.35188273,0.922757536,65.43899855
9.184487715,51.70011824,35.88511868,3.264116283,84.61576181,0.463669457,54.70816806
11.1171455,35.36403397,34.01490321,19.47830422,76.89703564,0.584955245,67.56515194
66.10072795,15.40001712,17.01233067,1.402607149,40.43703626,0.350262306,51.31381873
11.12790942,56.75519321,26.47130189,5.731456337,84.38589406,0.527421481,33.30028059
58.36266706,3.190518984,24.09456648,14.21006084,34.37177604,1.009409465,67.58137918
1.544402914,53.5612348,18.24206392,26.58628598,83.11444364,0.116066741,28.04669081
40.36567297,26.66000903,30.31675082,2.70480864,76.58075897,0.723480273,45.57955702
38.53973936,31.09291012,9.303493095,21.26948703,78.31021837,0.739026755,51.26638297
1.321040269,48.76499051,24.81934768,25.08352455,82.26421871,-0.020015884,7.961041753
5.142596601,50.35513665,22.46515752,21.96472748,84.13128111,0.369894807,20.87573651
27.2191941,35.49251925,11.53098061,25.84907722,75.67814408,0.85307461,37.86430767
38.97177512,19.80082837,37.77360905,3.544811456,69.71937736,0.75147092,29.44364705
46.89772482,19.39894427,32.17332892,1.636179058,56.56369114,0.876703251,89.74052181
58.4195563,3.153489089,24.13699923,14.24234602,34.43137473,1.014041714,67.63419062
39.17274291,13.34235862,32.05956299,15.33224052,67.90470203,0.934366163,53.13463955
8.343723191,35.98252046,47.02861584,8.676646152,71.38845992,0.602888951,54.922969
4.148533383,55.88564181,26.09971008,13.75563585,83.93661931,0.189620457,145.3713389
7.862787931,46.79739857,31.52766627,13.80786262,82.61844085,0.458374578,112.0520023
24.14744631,33.53371549,20.16582295,22.23416925,74.5974652,0.741778164,90.32424991
1.925060816,61.835419,14.22316199,22.22667508,84.69978519,0.222782335,52.72682843
75.59144273,6.580796238,11.68303392,6.1744249,31.76472967,0.942582894,60.96648483
51.22020405,27.85308023,19.349365,1.569033486,70.01500205,0.856613623,41.21449174
40.73287823,23.13105341,25.76846063,10.46483139,76.36012716,0.832638492,16.32722638
13.90516171,36.94603197,30.61324076,18.56469355,80.96729165,0.657383934,43.10857957
40.15496857,29.65363469,9.999376846,20.17338763,76.21772816,0.735272838,42.10987816
24.9119493,38.24925353,13.8443066,23.10992474,78.22749704,0.675273113,53.98147559
40.78954858,23.41086484,8.635603164,27.21079247,80.70702113,0.666532289,73.95098411
33.73760641,12.79808154,52.03242355,1.443990887,69.3572628,0.760283102,14.32391891
12.30529786,43.53222006,32.84856223,11.39337219,82.63213994,0.527198585,125.4152055
32.75070145,27.44469805,20.39885478,19.30231294,75.94064776,0.724938683,41.57782793
34.5764558,34.27983969,27.69996702,3.441101168,75.21732518,0.686953378,54.69615637
5.00506583,34.4279519,1.217190155,59.3716963,80.02556442,0.287540736,5.04159424
45.42882075,1.816133464,51.28668695,1.577788463,61.58670381,0.774293959,107.7063093
35.54415758,21.68808749,17.34777306,25.24115491,72.88715974,0.771096084,30.4713765
3.50097668,37.06780141,52.08770435,7.296750437,76.62161209,0.190057728,63.21121204
1.719662194,53.53493793,18.2681416,26.58654628,82.06717026,0.116373787,14.66719857
3.205504922,32.72694989,51.67289886,12.35991576,73.69480501,0.306013602,47.14966555
1.347514364,53.38525402,30.4400333,14.7822889,83.31499197,0.19206474,67.82530886
52.77416757,6.596222661,34.888169,5.857649684,42.66327722,0.796843924,17.2865111
52.72413513,6.597716765,34.88129148,5.760304897,42.70273024,0.88540443,17.36025832
11.11533399,56.72628691,26.37576679,5.752107744,84.41199458,0.543576675,33.29707114
29.50258488,28.16404468,12.40739853,30.04025372,73.34855958,0.703387691,25.55622869
2.710169792,38.25598874,57.10422689,1.835810354,72.71376017,0.277031678,58.40020335
4.581837262,48.06470807,14.32296547,33.134805,83.979581,0.226514319,33.57532113
51.30140421,27.76074604,19.38364034,1.520973278,70.0644314,0.826216566,41.1826938
49.20937786,8.289237034,23.40317628,19.08348251,66.90190989,0.967283615,84.02625461
19.79584869,32.61286482,29.7742989,17.81019699,78.46759974,0.489825725,49.01126766
52.82763572,21.45650295,16.28405429,9.285664777,53.57725475,0.850364286,78.371949
1.540300199,53.58856161,18.09261681,26.64915198,83.10298382,0.071609635,28.0830137
24.84159775,38.29175432,13.84792853,22.96623541,78.120644,0.70946879,53.922402
33.01156405,35.04612607,4.597925079,27.43165155,80.97550567,0.668216757,30.49559371
40.70446979,35.65264229,15.05320079,8.550039815,76.72413003,0.654562783,47.75719678
39.2451095,13.50174548,32.08325779,15.32067392,67.96925422,0.865045275,53.25043264
12.31048831,43.48084317,32.82510025,11.48794223,82.67871152,0.566911885,125.3528372
1.359195687,53.33473816,30.40920541,14.93143476,83.16542959,0.152911924,67.81904657
62.92131376,22.60879891,10.96115361,3.576855347,35.37722599,0.738492833,113.5209437
50.33731809,10.03926773,38.22644364,1.545541479,63.33529446,0.652769005,34.92447155
15.00703796,32.86781471,32.44632895,19.61354608,82.31683273,0.609018088,87.09679346
27.20611397,35.47284654,11.37899814,25.81243382,75.56668549,0.916572279,37.7929617
33.05813169,23.85864279,34.14578505,9.076770472,77.32998585,0.6503852,54.97511429
3.464421309,37.11479273,52.07026428,7.332813006,76.55554634,0.21612697,63.21029477
42.71774143,2.275947408,40.95282486,13.96380648,66.24646041,0.060403368,39.2100953
59.06916971,5.764200265,33.23967144,1.935869339,51.32269342,0.851409196,107.7100236
1.292088458,33.33195289,1.980198187,63.28955596,86.38606357,0.420064444,6.650940995
7.632405967,43.11112136,12.88983989,36.50926036,84.13896556,0.47373393,21.86809099
60.82074175,14.4388291,11.6741812,12.85811623,30.02163606,1.052788887,46.07898757
34.66587045,34.22184104,27.73748592,3.412173457,75.25109942,0.717508066,54.71004273
2.421636579,49.18137386,15.14451516,33.15839387,86.35868966,0.074111383,45.21737321
62.87254442,22.58295496,10.980446,3.497485396,35.49731362,0.738354446,113.5257058
64.15713955,1.926778631,21.31429329,12.59382461,28.20375811,0.792300752,105.4630647
19.75270481,32.57344527,29.81412253,17.80651175,78.52262011,0.42656945,49.05116948
7.756696592,46.79771921,31.65474136,13.78148685,82.58735315,0.548312727,112.0157052
35.50339602,37.81849899,6.680689169,20.11952983,83.11669079,0.8494664,85.44000974
41.80545337,26.98422803,10.7337454,20.40696111,77.25633815,0.621582049,73.84597172
5.130547695,50.53577472,22.45286446,21.88222544,84.10765039,0.314123466,20.93575527
3.264218332,47.71126461,41.31710603,7.655324301,74.77400303,0.11879478,129.2630355
45.34214042,1.725702685,51.33127545,1.522037537,61.62579366,0.747840313,107.8223646
71.58172811,2.048254995,24.96155744,1.391259914,37.06761873,0.989042794,49.87648716
7.805397132,46.83977597,31.64002989,13.79162089,82.68077163,0.447211305,111.9693297
66.56702356,13.05273472,14.06094052,6.217138896,37.25351271,0.881536238,132.845811
45.38519289,1.715853252,51.25931241,1.481760592,61.66160421,0.775688648,107.8247514
5.04582755,34.41150866,1.263391213,59.25211274,79.98403037,0.326792895,5.00675355
3.479515249,37.20154988,52.06257979,7.394665583,76.64509912,0.225481529,63.08902837
65.44673194,13.74789064,19.3006686,1.749421331,22.19889691,0.98852504,62.72674095
6.483400344,32.14973474,59.52755805,1.897230233,82.54607988,0.513830871,10.25422121
71.61103611,2.013460066,24.97151512,1.400358385,37.15280841,0.960323747,49.89677063
39.64974506,34.03454637,17.32267646,8.985649617,70.6606907,0.820954247,65.80218124
24.18086977,33.64762394,20.10024476,22.26374297,74.5180221,0.633461188,90.37388945
17.70758431,29.46501223,49.21244832,3.62260394,80.70964448,0.593702102,21.97298615
26.4489801,33.08607199,28.68466218,11.90735936,81.1390826,0.640360785,86.59676537
51.97645715,27.01707689,1.98035625,19.10958169,68.01615969,0.890207329,34.84672524
58.97649128,5.80832634,33.14894564,1.992552305,51.33905482,0.860709123,107.8781532
38.87088855,19.83617302,37.75780716,3.398454411,69.75226309,0.821793749,29.43474316
47.85816353,3.896239396,40.27264452,7.823871083,65.18984231,0.654339429,20.22677165
62.83236804,22.50208334,10.94255753,3.645120985,35.39603308,0.643207013,113.5823463
27.23736018,35.42644549,11.41940917,25.90722041,75.62129738,0.875646819,37.91781486
8.287969409,35.97542729,47.06365151,8.583486401,71.43546644,0.607949034,54.93469532
71.63740727,2.055862437,24.92560287,1.419349048,21.31330668,1.013262011,92.05126913
27.22422113,35.46565005,11.47914968,25.90704826,75.73204563,0.752878766,37.92854104
71.5846983,2.020582252,25.0458915,1.462220117,37.13323224,0.886376992,49.81444216
1.980078635,61.77834676,14.18702404,22.10402335,84.72893249,0.080508165,52.68383978
5.045869635,34.36870397,1.233399781,59.39974601,80.03370212,0.25374368,5.040131043
51.99584304,26.89523426,1.896238183,19.14973438,68.03899133,0.849401031,34.77159199
5.161096169,34.38057344,1.23192887,59.43075775,79.96339638,0.261387607,5.021713212
58.94835818,5.782257046,33.20769901,2.044382573,51.24870714,0.860651457,107.7831909
64.32881549,1.83915981,21.25055221,12.63097866,48.16450921,0.940926708,54.71981647
52.03404764,26.88357633,1.959559087,19.12796571,68.02970335,0.778321507,34.93407314
5.504969653,46.4207199,12.1804098,35.90983959,85.64673159,0.182021257,34.45560033
1.339380815,48.81474312,24.83425916,25.05103702,84.29877417,0.13468137,28.74633696
4.48862581,48.09567332,14.32524964,33.02050774,84.01549301,0.193333945,33.73339252
40.66108554,35.67769307,15.11652677,8.578054638,76.69736989,0.690470336,47.74880313
58.43780306,3.154930926,24.07182582,14.22817463,34.42027048,0.8822269,67.62518188
49.25643803,8.308247396,23.36790079,19.0205371,66.90620671,1.012005907,83.94621544
12.09951945,51.27179214,32.46612377,4.081101279,80.16160419,0.585084653,73.64368562
1.95028157,39.9056877,14.22626176,44.03598977,86.00902155,0.052440203,24.86569065
12.27976108,43.50104752,30.60447031,13.51335435,79.59033874,0.729864778,73.79465993
5.114602708,42.49242347,44.28726086,8.043771215,73.81286264,0.383560718,102.5033381
42.92935913,20.40551621,34.4327197,2.092786459,67.71118139,0.881222267,69.76955716
35.48187193,37.79591925,6.716742026,20.09117357,83.12472325,0.695847897,85.4723844
12.39415664,43.46688052,30.59781105,13.31558165,79.59957323,0.613509767,73.78266459
27.19928193,35.33769311,11.40295831,25.75456453,75.57072815,0.883916268,37.85999046
1.371653749,38.87228897,38.76776656,20.96882574,81.88009093,0.174477998,11.32269949
64.28179394,1.817606781,21.33484473,12.63475741,28.31255955,0.964274333,105.3645326
2.787547028,38.27878786,57.008809,1.945701602,72.65991775,0.356358841,58.35532481
47.78501044,15.4691328,14.80122914,22.07331279,66.93747086,0.625648162,43.15935126
38.98638852,19.81524991,37.73197025,3.512519498,69.88476933,0.752053959,29.4998118
1.514998549,53.63124454,18.23894527,26.56055614,83.10951681,0.03205505,28.01977188
7.539381904,43.08837134,12.88612908,36.42310187,84.1308043,0.462290148,21.81889059
2.467362481,47.44795929,26.05098533,24.08577503,80.54406325,0.30555063,45.35072717
68.76307726,7.825045936,19.08980018,4.184483712,32.86745656,1.029766966,52.76702378
1.226026646,63.0497969,34.20882979,1.456721604,83.64407792,0.324740548,40.381993
62.87184183,22.59861482,10.96473392,3.575473969,35.33002833,0.725055731,113.5416706
52.05878443,26.98644349,1.831176635,19.04606576,68.00734677,0.842132261,34.88816284
35.57954802,21.77376047,17.46111167,25.22439379,72.95640963,0.640911581,30.3948703
5.484162488,46.40678746,12.17350972,35.94372574,85.68581536,0.21214481,34.3143069
29.52176509,28.17179693,12.45330908,29.93140447,73.25281482,0.680026695,25.55979793
6.439090514,35.37205045,46.00367314,12.32425412,71.79855443,0.512341762,77.08642788
5.248837403,50.47331458,22.49479411,21.87914955,84.11245289,0.440468151,20.92048311
